doubling every 4 days;doubling every 10 days;doubling every 20 days;Germany;US;India;Brazil;Spain;date
100.0;100.0;100.0;130.0;104.0;102.0;151.0;120.0;0
118.9207115002721;107.17734625362931;103.52649238413775;159.0;174.0;113.0;151.0;165.0;1
141.4213562373095;114.86983549970351;107.17734625362931;196.0;222.0;119.0;162.0;222.0;2
168.1792830507429;123.11444133449163;110.9569472067845;262.0;337.0;142.0;200.0;259.0;3
200.0;131.9507910772894;114.86983549970351;482.0;451.0;156.0;321.0;400.0;4
237.8414230005442;141.4213562373095;118.9207115002721;670.0;519.0;194.0;372.0;500.0;5
282.842712474619;151.5716566510398;123.11444133449163;799.0;711.0;244.0;621.0;673.0;6
336.3585661014858;162.4504792712471;127.45606273192622;1040.0;1109.0;330.0;793.0;1073.0;7
400.0;174.11011265922482;131.9507910772894;1176.0;1561.0;396.0;1021.0;1695.0;8
475.6828460010884;186.60659830736148;136.60402567543954;1457.0;2157.0;499.0;1546.0;2277.0;9
565.685424949238;200.0;141.4213562373095;1908.0;2870.0;536.0;1924.0;2277.0;10
672.7171322029716;214.35469250725862;146.40856959456255;2078.0;2968.0;657.0;2247.0;5232.0;11
800.0;229.73967099940697;151.5716566510398;3675.0;4360.0;727.0;2554.0;6391.0;12
951.3656920021768;246.22888266898326;156.91681957935015;4585.0;6141.0;887.0;2985.0;7798.0;13
1131.370849898476;263.9015821545788;162.4504792712471;5795.0;8917.0;987.0;3417.0;9942.0;14
1345.4342644059432;282.842712474619;168.1792830507429;7272.0;14157.0;1024.0;3904.0;11748.0;15
1600.0;303.14331330207966;174.11011265922482;9257.0;19479.0;1251.0;4256.0;13910.0;16
1902.7313840043537;324.9009585424942;180.25009252216603;12327.0;25825.0;1397.0;4579.0;17963.0;17
2262.741699796952;348.22022531844965;186.60659830736148;15320.0;33761.0;1998.0;5717.0;20410.0;18
2690.8685288118863;373.21319661472296;193.1872657849691;19848.0;43850.0;2543.0;6836.0;25374.0;19
3200.0;400.0;200.0;22213.0;54112.0;2567.0;8044.0;28768.0;20
3805.4627680087074;428.70938501451724;207.0529847682755;24873.0;66055.0;3082.0;9056.0;35136.0;21
4525.483399593904;459.47934199881405;214.35469250725862;29056.0;84091.0;3588.0;10360.0;39885.0;22
5381.737057623773;492.4577653379664;221.91389441356898;32986.0;102276.0;4778.0;11130.0;49515.0;23
6400.0;527.8031643091576;229.73967099940697;37323.0;122069.0;5311.0;12161.0;57786.0;24
7610.925536017415;565.685424949238;237.8414230005442;43938.0;141205.0;5916.0;14034.0;65719.0;25
9050.966799187809;606.2866266041593;246.22888266898326;50871.0;162707.0;6725.0;16170.0;73235.0;26
10763.474115247545;649.8019170849884;254.91212546385245;57695.0;188724.0;7598.0;18092.0;80110.0;27
12800.0;696.4404506368992;263.9015821545788;62095.0;214205.0;8446.0;19638.0;87956.0;28
15221.85107203483;746.4263932294459;273.2080513508791;66885.0;244610.0;9205.0;20727.0;95923.0;29
18101.933598375617;800.0;282.842712474619;71808.0;276547.0;10453.0;22192.0;104118.0;30
21526.94823049509;857.4187700290345;292.8171391891251;77872.0;309699.0;11487.0;23430.0;112065.0;31
25600.0;918.9586839976281;303.14331330207966;84794.0;337573.0;12322.0;25262.0;119199.0;32
30443.70214406966;984.9155306759328;313.83363915870024;91159.0;367215.0;13430.0;28320.0;126168.0;33
36203.867196751235;1055.6063286183153;324.9009585424942;96092.0;397992.0;14352.0;30425.0;131646.0;34
43053.89646099018;1131.370849898476;336.3585661014858;100123.0;429686.0;15722.0;33682.0;136675.0;35
51200.0;1212.5732532083186;348.22022531844965;103374.0;464442.0;17615.0;36658.0;141942.0;36
60887.40428813932;1299.6038341699768;360.5001850443321;107663.0;497943.0;18539.0;38654.0;148220.0;37
72407.73439350247;1392.8809012737984;373.21319661472296;113296.0;527969.0;20080.0;40743.0;153222.0;38
86107.79292198036;1492.8527864588918;386.3745315699382;118181.0;556522.0;21370.0;43079.0;158273.0;39
102400.0;1600.0;400.0;122171.0;581813.0;23077.0;45757.0;163027.0;40
121774.80857627864;1714.8375400580687;414.10596953655096;124908.0;608878.0;24530.0;50036.0;166831.0;41
144815.46878700494;1837.9173679952562;428.70938501451724;127854.0;637974.0;26283.0;54043.0;170099.0;42
172215.58584396073;1969.8310613518656;443.82778882713797;130072.0;669272.0;27890.0;59324.0;172541.0;43
204800.0;2111.2126572366315;459.47934199881405;131359.0;701996.0;29451.0;63100.0;177644.0;44
243549.61715255727;2262.741699796952;475.6828460010884;134753.0;730337.0;31324.0;67446.0;184948.0;45
289630.9375740099;2425.1465064166364;492.4577653379664;137698.0;756375.0;33062.0;73235.0;190839.0;46
344431.17168792145;2599.2076683399537;509.8242509277049;141397.0;783716.0;34863.0;79685.0;191726.0;47
409600.0;2785.7618025475967;527.8031643091576;143342.0;809318.0;37257.0;87187.0;198674.0;48
487099.23430511454;2985.7055729177846;546.4161027017583;145184.0;837422.0;39699.0;92202.0;200210.0;49
579261.8751480198;3200.0;565.685424949238;147065.0;871617.0;42505.0;97100.0;204178.0;50
688862.3433758429;3429.6750801161375;585.6342783782501;148291.0;907908.0;46437.0;101826.0;208389.0;51
819200.0;3675.8347359905124;606.2866266041593;150648.0;940829.0;49400.0;108620.0;213024.0;52
974198.4686102291;3939.6621227037313;627.6672783174005;153129.0;968518.0;52987.0;115455.0;202990.0;53
1158523.7502960395;4222.425314473263;649.8019170849884;154999.0;990983.0;56351.0;126611.0;205905.0;54
1377724.6867516858;4525.483399593904;672.7171322029716;156513.0;1015518.0;59695.0;135773.0;207634.0;55
1638400.0;4850.293012833273;696.4404506368992;157770.0;1043038.0;62808.0;146894.0;209465.0;56
1948396.9372204582;5198.415336679907;721.0003700886642;158758.0;1072667.0;67161.0;156061.0;210773.0;57
2317047.500592079;5571.5236050951935;746.4263932294459;159912.0;1106829.0;70768.0;162699.0;212917.0;58
2755449.3735033716;5971.411145835569;772.7490631398766;161539.0;1136024.0;74292.0;169594.0;213435.0;59
3276800.0;6400.0;800.0;163009.0;1161611.0;78055.0;178214.0;215216.0;60
3896793.8744409163;6859.350160232275;828.2119390731019;164077.0;1184086.0;81997.0;190137.0;216582.0;61
4634095.001184158;7351.669471981025;857.4187700290345;164967.0;1208271.0;85784.0;203165.0;217466.0;62
5510898.747006743;7879.3242454074625;887.6555776542759;165664.0;1233527.0;90648.0;220291.0;218011.0;63
6553600.0;8444.850628946526;918.9586839976281;166152.0;1261409.0;95698.0;233511.0;219329.0;64
7793587.748881833;9050.966799187809;951.3656920021768;167007.0;1288587.0;100328.0;241080.0;220325.0;65
9268190.002368316;9700.586025666546;984.9155306759328;168162.0;1314320.0;106475.0;255368.0;221447.0;66
11021797.494013486;10396.830673359815;1019.6485018554098;169430.0;1334084.0;112028.0;271885.0;222857.0;67
13107200.0;11143.047210190387;1055.6063286183153;170588.0;1352962.0;118226.0;291579.0;223578.0;68
15587175.497763665;11942.822291671138;1092.8322054035166;171324.0;1375152.0;124794.0;310087.0;224350.0;69
18536380.004736632;12800.0;1131.370849898476;171879.0;1396110.0;131423.0;330890.0;227436.0;70
22043594.988026973;13718.70032046455;1171.2685567565002;172576.0;1423727.0;138536.0;347398.0;228030.0;71
26214400.0;14703.33894396205;1212.5732532083186;173171.0;1449027.0;144950.0;363211.0;228691.0;72
31174350.99552733;15758.648490814925;1255.334556634801;174098.0;1474128.0;150793.0;374898.0;229540.0;73
37072760.009473264;16889.70125789305;1299.6038341699768;174478.0;1493132.0;158086.0;391222.0;230183.0;74
44087189.976053946;18101.933598375617;1345.4342644059432;175233.0;1514901.0;165386.0;411821.0;230698.0;75
52428800.0;19401.17205133309;1392.8809012737984;175752.0;1535350.0;173491.0;438238.0;230698.0;76
62348701.99105466;20793.66134671963;1442.0007401773285;176369.0;1559157.0;181827.0;465166.0;231606.0;77
74145520.01894653;22286.094420380774;1492.8527864588918;176551.0;1584512.0;190609.0;498440.0;232037.0;78
88174379.95210789;23885.644583342277;1545.4981262797533;177778.0;1608653.0;198370.0;514849.0;232555.0;79
104857600.0;25600.0;1600.0;178473.0;1630476.0;207191.0;526447.0;233037.0;80
124697403.98210932;27437.4006409291;1656.4238781462038;179021.0;1651289.0;216824.0;555383.0;234824.0;81
148291040.03789306;29406.67788792408;1714.8375400580687;179710.0;1670280.0;226713.0;584016.0;235290.0;82
176348759.90421578;31517.296981629876;1775.3111553085525;179986.0;1689163.0;236184.0;614941.0;235772.0;83
209715200.0;33779.4025157861;1837.9173679952562;180328.0;1707445.0;246622.0;645771.0;235400.0;84
249394807.96421865;36203.867196751235;1902.7313840043537;180600.0;1730260.0;257486.0;672846.0;236259.0;85
296582080.0757861;38802.34410266618;1969.8310613518656;181200.0;1754764.0;265928.0;691758.0;236259.0;86
352697519.80843157;41587.32269343924;2039.297003710819;181524.0;1779214.0;276146.0;707412.0;237906.0;87
419430400.0;44572.18884076158;2111.2126572366315;182196.0;1799124.0;286605.0;739503.0;238564.0;88
498789615.9284373;47771.28916668455;2185.664410807033;182922.0;1816479.0;297535.0;772416.0;239228.0;89
593164160.1515722;51200.0;2262.741699796952;183189.0;1837374.0;308993.0;802828.0;239479.0;90
705395039.6168631;54874.8012818582;2342.5371135130003;183410.0;1857332.0;320922.0;828810.0;239638.0;91
838860800.0;58813.35577584816;2425.1465064166364;183594.0;1878683.0;332424.0;850514.0;239932.0;92
997579231.8568746;63034.59396325975;2510.669113269603;183879.0;1903907.0;343091.0;867624.0;240326.0;93
1186328320.3031445;67558.8050315722;2599.2076683399537;184121.0;1926639.0;354065.0;888271.0;240660.0;94
1410790079.2337263;72407.73439350247;2690.8685288118863;184472.0;1944370.0;366946.0;923189.0;240978.0;95
1677721600.0;77604.68820533236;2785.7618025475967;184924.0;1961785.0;380532.0;955377.0;241310.0;96
1995158463.7137492;83174.64538687847;2884.001480354656;185450.0;1979912.0;395048.0;978142.0;241550.0;97
2372656640.606289;89144.37768152315;2985.7055729177846;185750.0;2000706.0;410451.0;1032913.0;241717.0;98
2821580158.4674525;95542.5783333691;3090.9962525595065;186109.0;2023656.0;425282.0;1067579.0;241966.0;99
3355443200.0;102400.0;3200.0;186506.0;2048986.0;440215.0;1083341.0;242280.0;100
3990316927.4274983;109749.6025637164;3312.8477562924077;186522.0;2074542.0;456183.0;1106470.0;242707.0;101
4745313281.212578;117626.71155169632;3429.6750801161375;186691.0;2094366.0;473105.0;1145906.0;243209.0;102
5643160316.934905;126069.1879265195;3550.622310617105;187226.0;2114026.0;490401.0;1188631.0;243605.0;103
6710886400.0;135117.6100631444;3675.8347359905124;187267.0;2137731.0;508953.0;1228114.0;243928.0;104
7980633854.854997;144815.46878700494;3805.4627680087074;187518.0;2163290.0;528859.0;1274974.0;244109.0;105
9490626562.425156;155209.37641066473;3939.6621227037313;187682.0;2191099.0;548318.0;1313667.0;244328.0;106
11286320633.86981;166349.29077375695;4078.594007421638;188252.0;2222579.0;566840.0;1344143.0;244683.0;107
13421772800.0;178288.7553630463;4222.425314473263;188604.0;2255328.0;585481.0;1368195.0;245268.0;108
15961267709.709993;191085.1566667382;4371.328821614066;189817.0;2281767.0;604641.0;1402041.0;245575.0;109
;;;190299.0;2312303.0;625544.0;1448753.0;245938.0;110
;;;190670.0;2347491.0;648315.0;1496858.0;246272.0;111
;;;191272.0;2382426.0;673165.0;1539081.0;246504.0;112
;;;191768.0;2422299.0;697413.0;1577004.0;246752.0;113
;;;192480.0;2467554.0;719664.0;1603055.0;247086.0;114
;;;192871.0;2510259.0;742417.0;1623284.0;247486.0;115
;;;193371.0;2549864.0;767296.0;1668589.0;247905.0;116
;;;194036.0;2590668.0;793802.0;1713160.0;248469.0;117
;;;194458.0;2636414.0;820916.0;1755779.0;248770.0;118
;;;194693.0;2687588.0;849522.0;1800827.0;248970.0;119
;;;195042.0;2742049.0;878254.0;1839850.0;249271.0;120
;;;195418.0;2795361.0;906752.0;1864681.0;249659.0;121
;;;195893.0;2841241.0;936181.0;1884967.0;250103.0;122
;;;196370.0;2891124.0;968857.0;1926824.0;250545.0;123
;;;196780.0;2936077.0;1003832.0;1966748.0;250545.0;124
;;;197198.0;2996098.0;1039084.0;2012151.0;250545.0;125
;;;197523.0;3054699.0;1077781.0;2046328.0;251789.0;126
;;;198064.0;3117946.0;1118206.0;2074860.0;252130.0;127
;;;198343.0;3185737.0;1155338.0;2098389.0;252513.0;128
;;;198699.0;3245925.0;1193078.0;2118646.0;253056.0;129
;;;199001.0;3304942.0;1238798.0;2159654.0;253908.0;130
;;;199332.0;3364157.0;1288108.0;2227514.0;253908.0;131
;;;199709.0;3431574.0;1337024.0;2287475.0;253908.0;132
;;;199919.0;3498902.0;1385635.0;2343366.0;255953.0;133
;;;200180.0;3576157.0;1435616.0;2394513.0;256619.0;134
;;;200456.0;3647715.0;1480073.0;2419091.0;257494.0;135
;;;200890.0;3711413.0;1531669.0;2442375.0;258855.0;136
;;;201450.0;3773260.0;1581963.0;2483191.0;260255.0;137
;;;202045.0;3834677.0;1634746.0;2552265.0;260255.0;138
;;;202426.0;3899211.0;1695988.0;2610102.0;260255.0;139
;;;202735.0;3970121.0;1750723.0;2662485.0;264836.0;140
;;;203325.0;4038816.0;1803695.0;2707877.0;266194.0;141
;;;203717.0;4112531.0;1855745.0;2733677.0;267551.0;142
;;;204276.0;4178970.0;1908254.0;2750318.0;270166.0;143
;;;204881.0;4233923.0;1964536.0;2801921.0;272421.0;144
;;;205623.0;4290337.0;2027074.0;2859073.0;272421.0;145
;;;206278.0;4356206.0;2088611.0;2912212.0;272421.0;146
;;;206667.0;4426982.0;2153010.0;2962442.0;278782.0;147
;;;207112.0;4495015.0;2215074.0;3012412.0;280610.0;148
;;;207707.0;4562107.0;2268675.0;3035422.0;282641.0;149
;;;208546.0;4620592.0;2329638.0;3057470.0;285430.0;150
;;;209535.0;4668172.0;2396637.0;3109630.0;288522.0;151
;;;210399.0;4713540.0;2461190.0;3164785.0;288522.0;152
;;;211005.0;4771080.0;2525922.0;3224876.0;288522.0;153
;;;211220.0;4823890.0;2589952.0;3275520.0;297054.0;154
;;;212111.0;4883582.0;2647663.0;3317096.0;302814.0;155
;;;212828.0;4941755.0;2702681.0;3340197.0;305767.0;156
;;;214113.0;4997929.0;2767253.0;3359570.0;309855.0;157
;;;215039.0;5044864.0;2836925.0;3407354.0;314362.0;158
;;;216196.0;5094400.0;2905825.0;3456652.0;314362.0;159
;;;216903.0;5141208.0;2975701.0;3501975.0;314362.0;160
;;;217288.0;5197411.0;3044940.0;3532330.0;322980.0;161
;;;218508.0;5248958.0;;3582362.0;326612.0;162
;;;219540.0;5313252.0;;;329784.0;163
;;;220859.0;5361165.0;;;337334.0;164
;;;222281.0;5403213.0;;;342813.0;165
;;;223791.0;5438325.0;;;342813.0;166
;;;224488.0;5482416.0;;;342813.0;167
;;;225007.0;5529824.0;;;359082.0;168
;;;226700.0;5573847.0;;;364196.0;169
;;;228120.0;5622540.0;;;370867.0;170
;;;229706.0;5667112.0;;;377906.0;171
;;;231292.0;;;;386054.0;172
;;;233029.0;;;;386054.0;173
;;;233861.0;;;;;174
